n_features,roc_auc,lift@1%,lift@5%,lift@10%,var_eliminada
289,0.728289394251376,6.308256017211241,3.694048023721867,3.3334754418687274,trf_pct_lineas_mov_con_exceso_minutos
288,0.7256021466738725,5.8576663016961525,3.2435543622923717,3.513663303591361,max_ratio_fallos_sms_mov_cli_dm7
287,0.728045034566994,5.8576663016961525,3.7841467560077664,3.513663303591361,dias_ult_evento_dns
286,0.7283939584711581,5.8576663016961525,3.7841467560077664,3.4235693727300442,uni_bono_mas_mb_cli
285,0.7289619481407611,6.308256017211241,2.9732581654346735,3.468616338160703,uni_nota_ult_encuesta
284,0.7265524530270897,5.8576663016961525,3.7841467560077664,3.3334754418687274,crm_eventos_in_min_avg_sdb_30d
283,0.727313469544151,5.8576663016961525,3.874245488293665,3.288428476438069,uni_dto_porc_cli
282,0.7269031673321671,4.956486870665976,3.964344220579565,3.4235693727300442,uni_duracion_llamadas_importe
281,0.7306402987955625,5.407076586181064,3.7841467560077664,3.513663303591361,uni_dto_meses_fin_cli
280,0.7241398577561322,5.407076586181064,3.694048023721867,3.55871026902202,dns_juegos_no_wknd_numbersessionsinferred
279,0.7306491666873345,6.75884573272633,3.6039492914359683,3.198334545576752,uni_minutos_fuera_tarifa_cli
278,0.7293999114460499,5.8576663016961525,3.694048023721867,3.2433815110074105,uni_dto_valor_cli
277,0.7287601254982121,5.407076586181064,3.5138505591500686,3.4235693727300442,ros_sna_max_lines_llaman_node
276,0.7289707078875116,4.956486870665976,3.7841467560077664,3.468616338160703,ros_sna_num_lines_with_ego_by_cli
275,0.7265178946846289,4.505897155150887,4.054442952865465,3.4235693727300442,uni_bono_cesion_mb_cli
274,0.7319981196224288,6.75884573272633,3.874245488293665,3.513663303591361,uni_bono_100_mb_cli
273,0.7276635590113257,6.308256017211241,3.7841467560077664,3.2433815110074105,con_num_fallos_est_llam_mov_lin_dm7
272,0.728368520358853,5.8576663016961525,3.2435543622923717,3.468616338160703,lb_total_devices
271,0.72657712210813,5.8576663016961525,3.1534556300064724,3.4235693727300442,uni_max_ratio_consumo_contratado_movil_minutes
270,0.7247479451965251,5.8576663016961525,3.5138505591500686,3.468616338160703,axe_nhijosestimados
269,0.7236687179614365,4.956486870665976,3.694048023721867,3.2433815110074105,uni_duracion_llamadas
268,0.7259180142497648,5.407076586181064,3.6039492914359683,3.6488041998833367,axe_perfilhijos_Jovenes
